Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
01.03.06;#027.8031;;Dorfgebiet;Linie
01.03.06;#027.8032;;Mischgebiet;Punkt
01.03.06;#027.8032;;Mischgebiet;Linie
01.03.06;#027.8033;;Kerngebiet;Punkt
01.03.06;#027.8033;;Kerngebiet;Linie
01.03.06;#002.8074;;Gewerbliche Baufläche;Punkt
01.03.06;#002.8074;;Gewerbliche Baufläche;Linie
01.03.06;#027.8041;;Gewerbegebiet;Punkt
01.03.06;#027.8041;;Gewerbegebiet;Linie
01.03.06;#027.8042;;Industriegebiet;Punkt
01.03.06;#027.8042;;Industriegebiet;Linie
01.03.06;#002.8075;;Sonderbauflächen;Punkt
01.03.06;#002.8075;;Sonderbauflächen;Linie
01.03.06;#027.8051;;sonstige Sondergebiete ( Krankenhaus );Punkt
01.03.06;#027.8051;;sonstige Sondergebiete ( Krankenhaus );Linie
01.03.06;#027.8052;;sonstige Sondergebiete ( Schule );Punkt
01.03.06;#027.8052;;sonstige Sondergebiete (Schule );Linie
01.03.06;#002.8076;;Grenzpunkt Flächennutzungsplan;Punkt
01.03.06;#002.8076;;Grenzlinie Flächennutzungsplan;Linie
01.03.06;#000.8028;;Gemarkungsgrenzpunkt (allgemein);Punkt
01.03.06;#000.8028;;Gemarkungsgrenze (allgemein);Linie
01.03.06;#002.8080;;Gemarkungsgrenze;Linie
01.03.06;#002.8081;;Gemarkungsgrenzpunkt aufgemessen;Punkt
01.03.06;#002.8081;;Flurgrenze;Linie
01.03.06;#002.8082;;Gemarkungsgrenzpunkt amtl. Koordinaten;Punkt
01.03.06;#002.8082;;Gemeinde-, Stadtgrenze;Linie
01.03.06;#002.8083;;Kreisgrenze;Linie
01.03.06;#002.8084;;Grenze der Region;Linie
01.03.06;#002.8085;;Gemarkungsgrenzpunkt unvermarkt;Punkt
01.03.06;#002.8085;;RP-Bezirksgrenze;Linie
01.03.06;#002.8086;;Gemarkungsgrenzpunkt aus Digi. / Konstruktion;Punkt
01.03.06;#002.8086;;Landes- (Staats-) grenze;Linie
01.03.06;#002.8087;;Bundesgrenze;Linie
01.03.06;#000.8029;;Nutzungsgrenze ;Punkt
01.03.06;#000.8029;;Nutzungsgrenzlinie ( auch aus ALK );Linie
01.03.06;#002.8090;;Nutzungsgrenze aus Befliegung oder Geländeaufnahme;Punkt
01.03.06;#002.8090;;Nutzungsgrenzlinie aus Befliegung oder Geländeaufnahme;Linie
01.03.06;#002.8092;;Nutzungsgrenze aus amtl. Koordinaten;Punkt
01.03.06;#002.8095;;Acker;Linie
01.03.06;#002.8096;;Funktionsfläche ( z. B. Tank- und Rastanlagen );Linie
01.03.06;#002.8097;;Grünland (intensiv );Linie
01.03.06;#002.8098;;Grünland (extensiv);Linie
01.03.06;#002.8099;;Brachfläche, Unland;Linie
01.03.06;#000.8030;;Wegrand ;Punkt
01.03.06;#000.8030;;Wegrand ;Linie
01.03.06;#003.8001;;Wegrand aufgemessen;Punkt
01.03.06;#003.8001;;Grasweg / Erdweg;Linie
01.03.06;#003.8002;;Wegrand aus berechneten Koordinaten;Punkt
01.03.06;#003.8002;;wassergebunden befestigter Weg;Linie
01.03.06;#003.8003;;bit. befestigter Weg;Linie
01.03.06;#003.8004;;gepflasterter Weg;Linie
01.03.06;#003.8005;;Wegmitte;Punkt
01.03.06;#003.8005;;sonstiger befestigter Weg;Linie
01.03.06;#003.8006;;Wegrand digitalisiert / Konstruktion;Punkt
01.03.06;#003.8006;;bit. Gehweg;Linie
01.03.06;#003.8007;;bit. Radweg;Linie
01.03.06;#003.8008;;bit. kombinierter Rad-/Gehweg;Linie
01.03.06;#003.8009;;bit. Mehrzweckweg;Linie
01.03.06;#000.8031;;Mulde  (Tiefpunkt);Punkt
01.03.06;#000.8031;;Muldensohle;Linie
01.03.06;#003.8011;;Mulde unbefestigt;Linie
01.03.06;#003.8012;;Mulde befestigt;Linie
01.03.06;#003.8019;;Muldenaußenrand ( Punkt der Begrenzungslinie );Punkt
01.03.06;#003.8019;;Muldenaußenrandlinie;Linie
01.03.06;#000.8032;;Wasserbauwerke;Punkt
01.03.06;#000.8032;;Wasserbauwerke;Linie
01.03.06;#003.8026;;Wehr;Punkt
01.03.06;#003.8026;;Wehr;Linie
01.03.06;#003.8027;;Rechen;Punkt
01.03.06;#003.8027;;Rechen;Linie
01.03.06;#003.8028;;Schleuse;Punkt
01.03.06;#003.8028;;Schleuse;Linie
01.03.06;#000.8033;;Mauer unten ;Punkt
01.03.06;#000.8033;;Mauer unten;Linie
01.03.06;#003.8030;;Mauer Umrissline unten;Linie
01.03.06;#003.8031;;Hinterkante Mauer unten ( i. d. R. ohne Darstellung );Linie
01.03.06;#003.8032;;Mauer rechts d=20 cm ( Dicke );Linie
01.03.06;#003.8033;;Mauer rechts d=30 cm ( Dicke );Linie
01.03.06;#003.8034;;Mauer rechts d=40 cm ( Dicke );Linie
01.03.06;#003.8035;;Mauer rechts d=50 cm ( Dicke );Linie
01.03.06;#003.8036;;Mauer rechts d=60 cm ( Dicke );Linie
01.03.06;#000.8034;;Mauer oben;Punkt
01.03.06;#000.8034;;Mauer oben;Linie
01.03.06;#003.8040;;Mauer Umrissline oben;Linie
01.03.06;#003.8041;;L-Steine;Punkt
01.03.06;#003.8041;;L-Steine (rechts);Linie
01.03.06;#003.8042;;U-Steine;Punkt
01.03.06;#003.8042;;U-Steine (rechts);Linie
01.03.06;#003.8043;;Gabionen;Punkt
01.03.06;#003.8043;;Gabionen (rechts);Linie
01.03.06;#000.8035;;Schienenoberkante;Punkt
01.03.06;#000.8035;;Schiene;Linie
01.03.06;#003.8051;;Punkt einer Schienen-Mittellinie;Punkt
01.03.06;#003.8051;;Schienenmittellinie - Gleisachse (Normalspur);Linie
01.03.06;#003.8052;;Schienenmittellinie - Gleisachse ( 1 m  - Spur );Linie
01.03.06;#003.8053;;Schienenmittellinie - Gleisachse ( 0.75 m - Spur );Linie
01.03.06;#003.8057;;Schotterbett unten;Punkt
01.03.06;#003.8057;;Schotterbett unten;Linie
01.03.06;#003.8058;;Schotterbett oben;Punkt
01.03.06;#003.8058;;Schotterbett oben;Linie
01.03.06;#000.8036;;Rand einer befestigten Fläche;Punkt
01.03.06;#000.8036;;Rand einer befestigten Fläche;Linie
01.03.06;#003.8061;;Betonbefestigung;Punkt
01.03.06;#003.8061;;Betonbefestigung;Linie
01.03.06;#003.8062;;bituminöse Befestigung;Punkt
01.03.06;#003.8062;;bituminöse Befestigung;Linie
01.03.06;#003.8063;;Pflaster Naturstein;Punkt
01.03.06;#003.8063;;Pflaster Naturstein;Linie
01.03.06;#003.8064;;Pflaster Kunststein;Punkt
01.03.06;#003.8064;;Pflaster Kunststein;Linie
01.03.06;#003.8065;;wassergebundene Befestigung;Punkt
01.03.06;#003.8065;;wassergebundene Befestigung;Linie
01.03.06;#003.8067;;Rasengittersteine;Punkt
01.03.06;#003.8067;;Rasengittersteine;Linie
01.03.06;#003.8069;;sonstige Befestigung;Punkt
01.03.06;#003.8069;;sonstige Befestigung;Linie
01.03.06;#000.8037;;Graben unten;Punkt
01.03.06;#000.8037;;Graben unten;Linie
01.03.06;#003.8075;;Grabentiefpunkt / Grabenmitte;Punkt
01.03.06;#003.8075;;Grabensohle / Grabenmitte;Linie
01.03.06;#000.8038;;Graben oben;Punkt
01.03.06;#000.8038;;Graben oben;Linie
