Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
18.10.02;#061.F012;;DGM - Gehweg/Radweg an Straßen;Linie
01.01.13;#061.F112;;DGM - Gehweg/Radweg an Straßen;Linie
15.12.10;#061.F212;;DGM - Gehweg/Radweg an Straßen;Linie
15.12.10;#061.F312;;DGM - Gehweg/Radweg an Straßen;Linie
18.10.02;#061.F912;;DGM - Gehweg/Radweg an Straßen;Linie
18.10.02;#061.F013;;DGM - Gehweg/Radweg;Linie
01.01.13;#061.F113;;DGM - Gehweg/Radweg;Linie
15.12.10;#061.F213;;DGM - Gehweg/Radweg;Linie
15.12.10;#061.F313;;DGM - Gehweg/Radweg;Linie
18.10.02;#061.F913;;DGM - Gehweg/Radweg;Linie
18.10.02;#061.F014;;DGM - Radweg an Straßen;Linie
01.01.13;#061.F114;;DGM - Radweg an Straßen;Linie
15.12.10;#061.F214;;DGM - Radweg an Straßen;Linie
15.12.10;#061.F314;;DGM - Radweg an Straßen;Linie
18.10.02;#061.F914;;DGM - Radweg an Straßen;Linie
18.10.02;#061.F015;;DGM - Wegseite, unbefestigt;Linie
01.01.13;#061.F115;;DGM - Wegseite, unbefestigt;Linie
15.12.10;#061.F215;;DGM - Wegseite, unbefestigt;Linie
15.12.10;#061.F315;;DGM - Wegseite, unbefestigt;Linie
18.10.02;#061.F915;;DGM - Wegseite, unbefestigt;Linie
18.10.02;#061.F016;;DGM - Hochbord;Linie
01.01.13;#061.F116;;DGM - Hochbord;Linie
15.12.10;#061.F216;;DGM - Hochbord;Linie
15.12.10;#061.F316;;DGM - Hochbord;Linie
18.10.02;#061.F916;;DGM - Hochbord;Linie
18.10.02;#061.F017;;DGM - Tiefbord;Linie
01.01.13;#061.F117;;DGM - Tiefbord;Linie
15.12.10;#061.F217;;DGM - Tiefbord;Linie
15.12.10;#061.F317;;DGM - Tiefbord;Linie
18.10.02;#061.F917;;DGM - Tiefbord;Linie
18.10.02;#061.F018;;DGM - Formlinien;Linie
01.01.13;#061.F118;;DGM - Formlinien;Linie
15.12.10;#061.F218;;DGM - Formlinien;Linie
15.12.10;#061.F318;;DGM - Formlinien;Linie
18.10.02;#061.F918;;DGM - Formlinien;Linie
18.10.02;#061.F019;;DGM - Formlinien, geschlossen;Linie
01.01.13;#061.F119;;DGM - Formlinien, geschlossen;Linie
15.12.10;#061.F219;;DGM - Formlinien, geschlossen;Linie
15.12.10;#061.F319;;DGM - Formlinien, geschlossen;Linie
18.10.02;#061.F919;;DGM - Formlinien, geschlossen;Linie
18.10.02;#061.F020;;DGM - Randlinie;Linie
01.01.13;#061.F120;;DGM - Randlinie;Linie
15.12.10;#061.F220;;DGM - Randlinie;Linie
15.12.10;#061.F320;;DGM - Randlinie;Linie
18.10.02;#061.F920;;DGM - Randlinie;Linie
18.10.02;#061.F021;;DGM - Hofraum;Linie
15.12.10;#061.F121;;DGM - Hofraum;Linie
15.12.10;#061.F221;;DGM - Hofraum;Linie
15.12.10;#061.F321;;DGM - Hofraum;Linie
18.10.02;#061.F921;;DGM - Hofraum;Linie
18.10.02;#061.F022;;DGM - Pflasterkante;Linie
01.01.13;#061.F122;;DGM - Pflasterkante;Linie
15.12.10;#061.F222;;DGM - Pflasterkante;Linie
15.12.10;#061.F322;;DGM - Pflasterkante;Linie
18.10.02;#061.F922;;DGM - Pflasterkante;Linie
18.10.02;#061.F023;;Orthophoto-Bruchkante;Linie
18.10.02;#061.F223;;Orthophoto-Bruchkante;Linie
15.12.10;#061.F323;;DGM - Orthophoto-Bruchkante;Linie
18.10.02;#061.F923;;Orthophoto-Bruchkante;Linie
01.01.13;#062.F001;;DOM - Bruchkante, Mauern, Zäune;Linie
01.01.13;#062.F101;;DOM - Bruchkante, Mauern, Zäune;Linie
01.01.13;#062.F201;;DOM - Bruchkante, Mauern, Zäune;Linie
01.01.13;#062.F301;;DOM - Bruchkante, Mauern, Zäune;Linie
01.01.13;#062.F901;;DOM - Bruchkante, Mauern, Zäune;Linie
01.01.13;#062.F002;;DOM - Bruchkante, Bauliche Anlagen;Linie
01.01.13;#062.F102;;DOM - Bruchkante, Bauliche Anlagen;Linie
01.01.13;#062.F202;;DOM - Bruchkante, Bauliche Anlagen;Linie
01.01.13;#062.F302;;DOM - Bruchkante, Bauliche Anlagen;Linie
01.01.13;#062.F902;;DOM - Bruchkante, Bauliche Anlagen;Linie
01.01.13;#062.F003;;DOM - Bruchkante, Vegetation;Linie
01.01.13;#062.F103;;DOM - Bruchkante, Vegetation;Linie
01.01.13;#062.F203;;DOM - Bruchkante, Vegetation;Linie
01.01.13;#062.F303;;DOM - Bruchkante, Vegetation;Linie
01.01.13;#062.F903;;DOM - Bruchkante, Vegetation;Linie
18.10.02;#063.F001;;Hinweislinie zum Editieren von Daten;Linie
01.01.13;#063.F101;;Hinweislinie zum Editieren von Daten;Linie
15.12.10;#063.F201;;Hinweislinie zum Editieren von Daten;Linie
15.12.10;#063.F301;;Hinweislinie zum Editieren von Daten;Linie
18.10.02;#063.F901;;Hinweislinie zum Editieren von Daten;Linie
18.10.02;#063.F001;;Hinweistext zum Editieren von Daten;Text
01.01.13;#063.F101;;Hinweistext zum Editieren von Daten;Text
15.12.10;#063.F201;;Hinweistext zum Editieren von Daten;Text
15.12.10;#063.F301;;Hinweistext zum Editieren von Daten;Text
18.10.02;#063.F901;;Hinweistext zum Editieren von Daten;Text
18.10.02;#080.F001;;DGM - Urgelände, Umring;Linie
01.01.13;#080.F101;;DGM - Urgelände, Umring;Linie
18.10.02;#080.F201;;DGM - Urgelände, Umring;Linie
18.10.02;#080.F301;;DGM - Urgelände, Umring;Linie
18.10.02;#080.F901;;DGM - Urgelände, Umring;Linie
18.10.02;#080.F001;;DGM - Urgelände, Umring;Text
01.01.13;#080.F101;;DGM - Urgelände, Umring;Text
18.10.02;#080.F201;;DGM - Urgelände, Umring;Text
18.10.02;#080.F301;;DGM - Urgelände, Umring;Text
18.10.02;#080.F901;;DGM - Urgelände, Umring;Text
18.10.02;#080.F002;;DGM - Urgelände, Inring;Linie
01.01.13;#080.F102;;DGM - Urgelände, Inring;Linie
18.10.02;#080.F202;;DGM - Urgelände, Inring;Linie
18.10.02;#080.F302;;DGM - Urgelände, Inring;Linie
18.10.02;#080.F902;;DGM - Urgelände, Inring;Linie
18.10.02;#080.F002;;DGM - Urgelände, Inring;Text
01.01.13;#080.F102;;DGM - Urgelände, Inring;Text
15.12.10;#080.F202;;DGM - Urgelände, Inring;Text
15.12.10;#080.F302;;DGM - Urgelände, Inring;Text
18.10.02;#080.F902;;DGM - Urgelände, Inring;Text
18.10.02;#140.F001;;Öffentliches Gebäude;Text
15.12.10;#140.F201;;Öffentliches Gebäude;Text
15.12.10;#140.F301;;Öffentliches Gebäude;Text
18.10.02;#140.F901;;Öffentliches Gebäude;Text
18.10.02;#231.F001;;Tangentenpunkt;Punkt
15.12.10;#231.F301;;Tangentenpunkt;Punkt
18.10.02;#231.F901;;Tangentenpunkt;Punkt
18.10.02;#231.F002;;Achspunkt;Punkt
01.01.13;#231.F102;;Achspunkt;Punkt
15.12.10;#231.F202;;Achspunkt;Punkt
15.12.10;#231.F302;;Achspunkt;Punkt
18.10.02;#231.F902;;Achspunkt;Punkt
18.10.02;#231.F003;;Kreuzungspunkt;Punkt
01.01.13;#231.F103;;Kreuzungspunkt;Punkt
15.12.10;#231.F203;;Kreuzungspunkt;Punkt
15.12.10;#231.F303;;Kreuzungspunkt;Punkt
18.10.02;#231.F903;;Kreuzungspunkt;Punkt
18.10.02;#231.F004;;Pfeil, Querneigung;Punkt
15.12.10;#231.F204;;Pfeil, Querneigung;Punkt
18.10.02;#231.F304;;Pfeil, Querneigung;Punkt
18.10.02;#231.F904;;Pfeil, Querneigung;Punkt
18.10.02;#231.F005;;Regelquerschnitt Linie;Linie
18.10.02;#231.F205;;Regelquerschnitt Linie;Linie
15.12.10;#231.F305;;Regelquerschnitt Linie;Linie
18.10.02;#231.F905;;Regelquerschnitt Linie;Linie
18.10.02;#231.F005;;Regelquerschnitt;Text
18.10.02;#231.F205;;Regelquerschnitt;Text
15.12.10;#231.F305;;Regelquerschnitt;Text
18.10.02;#231.F905;;Regelquerschnitt;Text
18.10.02;#231.F006;;Quergefälle ( Darstellung );Linie
18.10.02;#231.F206;;Quergefälle ( Darstellung );Linie
15.12.10;#231.F306;;Quergefälle ( Darstellung );Linie
18.10.02;#231.F906;;Quergefälle ( Darstellung );Linie
18.10.02;#231.F007;;Pflasterkante im Verkehrsraum;Linie
15.12.10;#231.F207;;Pflasterkante im Verkehrsraum;Linie
15.12.10;#231.F307;;Pflasterkante im Verkehrsraum;Linie
18.10.02;#231.F907;;Pflasterkante im Verkehrsraum;Linie
18.10.02;#231.F008;;Achshauptpunkt / Absteckung;Punkt
01.01.13;#231.F108;;Achshauptpunkt / Absteckung;Punkt
15.12.10;#231.F208;;Achshauptpunkt / Absteckung;Punkt
15.12.10;#231.F308;;Achshauptpunkt / Absteckung;Punkt
18.10.02;#231.F908;;Achshauptpunkt / Absteckung;Punkt
18.10.02;#231.F008;;Achshauptpunkt / Absteckung;Text
01.01.13;#231.F108;;Achshauptpunkt / Absteckung;Text
15.12.10;#231.F208;;Achshauptpunkt / Absteckung;Text
15.12.10;#231.F308;;Achshauptpunkt / Absteckung;Text
18.10.02;#231.F908;;Achshauptpunkt / Absteckung;Text
18.10.02;#232.F001;;Bauwerksbez., Rahmen;Linie
15.12.10;#232.F201;;Bauwerksbez., Rahmen;Linie
15.12.10;#232.F301;;Bauwerksbez., Rahmen;Linie
18.10.02;#232.F901;;Bauwerksbez., Rahmen;Linie
15.07.09;#232.F001;;Bauwerksbezeichnung, Brücke;Punkt
