Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
24.06.02;#234.3001;;Schiene;Linie;n85;
24.06.02;#234.3002;;Punkt einer Schienenmittellinie;Punkt;r40;
24.06.02;#234.3002;;Schienenmittellinie - Gleisachse (Normalspur);Linie;n84;
24.06.02;#234.3003;;Linienpunkt DB AG-Gleis;Punkt;r42;
;#234.3003;;DB AG-Gleis;Linie;n86;
24.06.02;#234.3004;;Linienpunkt DB AG-Schiene, oben;Punkt;r43;
;#234.3004;;DB AG-Schiene, oben;Linie;n87;
24.06.02;#234.3005;;Linienenpunkt Kleinbahn -Gleis-;Punkt;r44;
;#234.3005;;Linienenpunkt Kleinbahn -Gleis-;Linie;n88;
24.06.02;#234.3006;;Linienenpunkt Kleinbahn -Schiene oben-;Punkt;r45;
;#234.3006;;Linienenpunkt Kleinbahn -Schiene oben-;Linie;n89;
24.06.02;#234.3007;;Schotterbett (Symbol);Punkt;d09;
24.06.02;#234.3008;;Linienpunkt Schotterbett;Punkt;r56;
;#234.3008;;Schotterbett;Linie;n95;
24.06.02;#234.3009;;Linienpunkt sonstiges Bahngleis;Punkt;r48;
;#234.3009;;sonstiges Bahngleis;Linie;n92;
24.06.02;#234.3010;;Sonstige Bahnschiene, oben;Punkt;r49;
;#234.3010;;Sonstige Bahnschiene, oben;Linie;n93;
;#234.3011;;Sonsiges Bahn;Linie;n93;
;#234.3011;;Sonsiges Bahn;Punkt;r49;
;#235.3001;;Gleisvermarkungspunkt DB AG (Symbol);Punkt;d03;
;#235.3002;;Mastbolzen DB AG (Symbol);Punkt;d04;
;#235.3003;;Andreaskreuz (Symbol);Punkt;d06;
22.07.03;#235.3004;;Bahnschranke Oberkante Gelenk (Symbol);Punkt;d11;
24.06.02;#235.3005;;Linienpunkt Grundrisslinie Bahnschranke;Punkt;r59;
24.06.02;#235.3005;;Grundrisslinie Bahnschranke;Linie;n96;
22.07.03;#235.3006;;Linienpunkt Bahnsteig;Punkt;r54;
23.07.02;#235.3006;;Bahnsteig;Linie;n94;
;#235.3007;;Bake (Symbol);Punkt;d12;
;#235.3008;;Bake einstreifig, rechts (Symbol);Punkt;d13;
;#235.3009;;Bake zweistreifig, rechts (Symbol);Punkt;d14;
;#235.3010;;Bake dreistreifig, rechts (Symbol);Punkt;d15;
24.06.02;#238.3001;;Linienpunkt Fluss, feste Uferlinie;Punkt;s09;
22.07.03;#238.3001;;Fluss, feste Uferlinie;Linie;o22;
24.06.02;#238.3002;;Linienpunkt Fluss, unsichere Uferlinie;Punkt;s10;
22.07.03;#238.3002;;Fluss, unsichere Uferlinie;Linie;o23;
22.07.03;#239.3001;;Linienpunkt Stirnwand;Punkt;r02;
24.06.02;#239.3001;;Stirnwand;Linie;n53;
22.07.03;#23A.3001;;Linienpunkt Einrichtungen an Gewässern;Punkt;r90;
24.06.02;#23A.3001;;Einrichtungen an Gewässern;Linie;o10;
22.07.03;#23B.3001;;Linienpunkt Brückenbauwerk;Punkt;j74;
;#23B.3001;;Brückenbauwerk / Widerlager;Linie;n31;
;#23B.3002;;Linienpunkt Stützmauer, links;Punkt;j90;
25.06.02;#23B.3002;;Stützmauer, links;Linie;n46;
;#23B.3003;;Linienpunkt Stützmauer, rechts;Punkt;j91;
25.06.02;#23B.3003;;Stützmauer, rechts;Linie;n47;
;#23B.3004;;Linienpunkt Randlinie einer Stützmauer;Punkt;j92;
25.06.02;#23B.3004;;Randlinie einer Stützmauer;Linie;n48;
22.07.03;#23B.3005;;Linienpunkt Brückenwiderlager;Punkt;j75;
25.06.02;#23B.3005;;Brückenwiderlager (Makrolinie);Linie;n32;
25.06.02;#23B.3006;;Linienpunkt Grundrisslinie Widerlager;Punkt;j76;
25.06.02;#23B.3006;;Grundrisslinie Widerlager;Linie;n33;
22.07.03;#23B.3007;;Linienpunkt Geländer, Handlauf;Punkt;j83;
25.06.02;#23B.3007;;Geländer, Handlauf;Linie;n40;
22.07.03;#23B.3008;;Linienpunkt Dehnungsfuge;Punkt;j82;
25.06.02;#23B.3008;;Dehnungsfuge;Linie;n39;
25.06.02;#23B.3009;;Linienpunkt Kappe;Punkt;j77;
;#23B.3009;;Kappe / Makrolinie;Linie;n34;
25.06.02;#23B.3010;;Linienpunkt Flügelkappe;Punkt;j78;
;#23B.3010;;Flügelkappe;Linie;n35;
25.06.02;#23B.3011;;Linienpunkt Mittelkappe;Punkt;j79;
;#23B.3011;;Mittelkappe;Linie;n36;
25.06.02;#23B.3012;;Linienpunkt Grundrisslinie Kappe;Punkt;j80;
;#23B.3012;;Grundrisslinie Kappe;Linie;n37;
25.06.02;#23B.3013;;Linienpunkt Überbau;Punkt;j81;
;#23B.3013;;Überbau;Linie;n38;
25.06.02;#23B.3014;;Linienpunkt Linien unter Brücken;Punkt;j85;
22.07.03;#23B.3014;;Linien unter Brücken;Linie;n41;
25.06.02;#23B.3015;;lichte Höhe;Punkt;c77;
25.06.02;#23C.3001;;Linienpunkt Rinne (Gosse) mitte;Punkt;g73;
22.07.03;#23C.3001;;Rinne (Gosse) mitte;Linie;k71;
25.06.02;#23C.3002;;Linienpunkt Rinne (Gosse) links;Punkt;g74;
;#23C.3002;;Rinne (Gosse) links;Linie;k72;
25.06.02;#23C.3003;;Linienpunkt Rinne (Gosse) rechts;Punkt;g75;
22.07.03;#23C.3003;;Rinne (Gosse) rechts;Linie;k73;
25.06.02;#23C.3004;;Linienpunkt Rinne (Gosse) eine Randlinie;Punkt;g76;
22.07.03;#23C.3004;;Rinne (Gosse) eine Randlinie;Linie;k74;
25.06.02;#23C.3005;;Linienpunkt Rinne (Gosse) 1-reihig mitte;Punkt;g77;
22.07.03;#23C.3005;;Rinne (Gosse) 1-reihig mitte;Linie;k75;
25.06.02;#23C.3006;;Linienpunkt Rinne (Gosse) 1-reihig links;Punkt;g78;
22.07.03;#23C.3006;;Rinne (Gosse) 1-reihig links;Linie;k76;
25.06.02;#23C.3007;;Linienpunkt Rinne (Gosse) 1-reihig rechts;Punkt;g79;
22.07.03;#23C.3007;;Rinne (Gosse) 1-reihig rechts;Linie;k77;
25.06.02;#23C.3008;;Linienpunkt Rinne (Gosse) 2-reihig mitte;Punkt;g80;
22.07.03;#23C.3008;;Rinne (Gosse) 2-reihig mitte;Linie;k78;
25.06.02;#23C.3009;;Linienpunkt Rinne (Gosse) 2-reihig links;Punkt;g81;
22.07.03;#23C.3009;;Rinne (Gosse) 2-reihig links;Linie;k79;
25.06.02;#23C.3010;;Linienpunkt Rinne (Gosse) 2-reihig rechts;Punkt;g82;
22.07.03;#23C.3010;;Rinne (Gosse) 2-reihig rechts;Linie;k80;
25.06.02;#23C.3011;;Linienpunkt Rinne (Gosse) 3-reihig mitte;Punkt;g83;
22.07.03;#23C.3011;;Rinne (Gosse) 3-reihig mitte;Linie;k81;
25.06.02;#23C.3012;;Linienpunkt Rinne (Gosse) 3-reihig links;Punkt;g84;
22.07.03;#23C.3012;;Rinne (Gosse) 3-reihig links;Linie;k82;
25.06.02;#23C.3013;;Linienpunkt Rinne (Gosse) 3-reihig rechts;Punkt;g85;
22.07.03;#23C.3013;;Rinne (Gosse) 3-reihig rechts;Linie;k83;
25.06.02;#23C.3014;;Linienpunkt Rinne (Gosse) 4-reihig mitte;Punkt;g86;
22.07.03;#23C.3014;;Rinne (Gosse) 4-reihig mitte;Linie;k84;
25.06.02;#23C.3015;;Linienpunkt Rinne (Gosse) 4-reihig links;Punkt;g87;
22.07.03;#23C.3015;;Rinne (Gosse) 4-reihig links;Linie;k85;
25.06.02;#23C.3016;;Linienpunkt Rinne (Gosse) 4-reihig rechts;Punkt;g88;
22.07.03;#23C.3016;;Rinne (Gosse) 4-reihig rechts;Linie;k86;
25.06.02;#23C.3017;;Linienpunkt Rinne (Gosse) 5-reihig mitte;Punkt;g89;
22.07.03;#23C.3017;;Rinne (Gosse) 5-reihig mitte;Linie;k87;
25.06.02;#23C.3018;;Linienpunkt Rinne (Gosse) 5-reihig links;Punkt;g90;
22.07.03;#23C.3018;;Rinne (Gosse) 5-reihig links;Linie;k88;
25.06.02;#23C.3019;;Linienpunkt Rinne (Gosse) 5-reihig rechts;Punkt;g91;
22.07.03;#23C.3019;;Rinne (Gosse) 5-reihig rechts;Linie;k89;
23.07.03;#23C.3020;;sonstige Entwässerung (Symbol);Punkt;b61;
;#23C.3021;;Linienpunkt sonstige Entwässerung;Punkt;h68;
25.06.02;#23C.3021;;sonstige Entwässerung;Linie;l60;
23.07.03;#23C.3022;;Rohrdurchlass (Symbol);Punkt;b60;
