Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
07.10.02;7501.E011;;Weide;Punkt;s1148
07.10.02;7501.E012;;Laubbaum von planerischer Bedeutung;Punkt;s1326
18.09.02;7502.E001;;Nadelbaum;Punkt;s1124
07.10.02;7502.E002;;Nadelbaum;Punkt;s1325
07.10.02;7502.E003;;Eibe;Punkt;s1150
07.10.02;7502.E004;;Fichte;Punkt;s1151
07.10.02;7502.E005;;Kiefer;Punkt;s1152
07.10.02;7502.E006;;Lärche;Punkt;s1153
07.10.02;7502.E007;;Lebensbaum;Punkt;s1154
07.10.02;7502.E008;;Tanne;Punkt;s1155
07.10.02;7502.E009;;Wacholder;Punkt;s1156
07.10.02;7502.E010;;Zypresse;Punkt;s1157
16.09.02;7506.E001;;Laub Baumreihe;Linie;103
28.10.03;7507.E001;;Nadel Baumreihe;Linie;109
18.09.02;7511.E001;;Obstbaum;Punkt;s1123
07.10.02;7511.E002;;Obstbaum einzeln;Punkt;s1280
07.10.02;7512.E001;;Obstbaumanlage;Punkt;s1304
18.09.02;7515.E001;;Durchmesser 1.0m;Punkt;s570
;7515.E002;;Durchmesser 0.1m;Punkt;s571
;7515.E003;;Durchmesser 0.2m;Punkt;s572
;7515.E004;;Durchmesser 0.3m;Punkt;s573
;7515.E005;;Durchmesser 0.4m;Punkt;s574
;7515.E006;;Durchmesser 0.5m;Punkt;s575
;7515.E007;;Durchmesser 0.6m;Punkt;s576
;7515.E008;;Durchmesser 0.7m;Punkt;s577
;7515.E009;;Durchmesser 0.8m;Punkt;s578
18.09.02;7515.E010;;Durchmesser 0.9m;Punkt;s579
07.10.02;7855.E001;;Rohrauslauf;Punkt;s1308
07.10.02;7855.E002;;Pflasterrinne;Linie;18
17.09.02;8011.E001;;Quelle;Punkt;s552
07.10.02;8023.E001;;Höhe des Wasserspiegels;Punkt;s1415
07.10.02;8025.E001;;Fließrichtungspfeil;Punkt;s70
07.10.02;8038.E001;;Uferlinie, veränderliche;Linie;117
07.10.02;8062.E001;;Wehr;Linie;85
07.10.02;8073.E001;;Durchlass;Punkt;s1416
07.10.02;8091.E001;;Lattenpegel;Punkt;s1310
20.06.03;8096.0000;2.5.5.13;Grundwasserbeobachtungsrohr;Punkt;F39
07.10.02;9242.E001;;Lärmschutzwand;Linie;54;
07.10.02;9291.E001;;Schutzeinrichtung;Linie;15;
07.10.02;9292.E001;;Schutzeinrichtung;Linie;16;
07,10.02;9332.E001;;Denkmal;Punkt;s1248;
25.10.01;99999.9999;;Sonstiges;Punkt;1;
25.10.01;99999.9999;;Sonstiges;Linie;0;
25.10.01;99999.9999;;Sonstiges;Text;1;
25.10.01;99999.9999;;Sonstiges;Flaeche;0;
17.02.03;RE85.0001;RE 85;Fahrbahn;Flaeche;15;
17.02.03;RE85.0002;RE 85;Bankett;Flaeche;105;
27.11.03;RE85.0003;RE 85;Dammböschung;Flaeche;90;
27.11.03;RE85.0004;RE 85;Einschnittsböschung;Flaeche;114;
17.02.03;RE85.0005;RE 85;Insel gepflastert;Flaeche;16;
17.02.03;RE85.0006;RE 85;Stützwand, Widerlager;Flaeche;08;
17.02.03;RE85.0007;RE 85;geplanter Gebäudeabbruch;Flaeche;10;
17.02.03;RE85.0008;RE 85;Gewässer mit Fließrichtung;Flaeche;35;
21.11.03;RE85.0009;RE 85;Gehweg;Flaeche;115;
17.02.03;RE85.0010;RE 85;Zufahrt;Flaeche;54;
21.11.03;RE85.0011;RE 85;Wirtschaftsweg;Flaeche;15;
04.11.03;RE85.0012;RE 85;Grunderwerb - für den Straßenbau vorübergehend benötigte Fläche;Flaeche;89;
04.11.03;RE85.0013;RE 85;Grunderwerb - dauernd zu beschränkende Fläche;Flaeche;95;
04.11.03;RE85.0014;RE 85;Grunderwerb - Restfläche;Flaeche;26;
21.11.03;RE85.0015;RE 85;Trennstreifen;Flaeche;105;
17.02.03;RE85.0016;RE 85;Radweg;Flaeche;82;
21.11.03;RE85.0017;RE 85;Geh-/Radweg;Flaeche;82;
03.12.03;RE85.0019;RE 85;Aufschüttung;Flaeche;90;
03.12.03;RE85.0020;RE 85;Abgrabung;Flaeche;114;
21.11.03;RE85.0021;RE 85;Lärmschutzwall;Flaeche;60;
17.02.03;RE85.0022;RE 85;Lärmschutzwand;Flaeche;08;
17.02.03;RE85.0023;RE 85;Gewässer ohne Fließrichtung;Flaeche;35;
04.11.03;RE85.0024;RE 85;Grunderwerb - für den Straßenbau zu erwerbende Fläche;Flaeche;99;
21.11.03;RE85.0025;RE 85;Gebäude bereits abgebrochen;Flaeche;10;
