Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Status;Objektart;Attribut Verkehr;Attribut Ver-/Entsorgung;Attribut Ver-/Entsorgung unterirdisch;;
01.08.10;#061.F312;;DGM - Gehweg/Radweg an Straßen;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F912;;DGM - Gehweg/Radweg an Straßen;Linie;240;Planung;DGM;;;;;
21.12.09;#061.F013;;DGM - Gehweg/Radweg;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F113;;DGM - Gehweg/Radweg;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F213;;DGM - Gehweg/Radweg;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F313;;DGM - Gehweg/Radweg;Linie;661;Photogrammetrie/Laser;DGM;;;;;
21.12.09;#061.F913;;DGM - Gehweg/Radweg;Linie;240;Planung;DGM;;;;;
21.12.09;#061.F014;;DGM - Radweg an Straßen;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F114;;DGM - Radweg an Straßen;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F214;;DGM - Radweg an Straßen;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F314;;DGM - Radweg an Straßen;Linie;661;Photogrammetrie/Laser;DGM;;;;;
21.12.09;#061.F914;;DGM - Radweg an Straßen;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F015;;DGM - Wegseite, unbefestigt;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F115;;DGM - Wegseite, unbefestigt;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F215;;DGM - Wegseite, unbefestigt;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F315;;DGM - Wegseite, unbefestigt;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F915;;DGM - Wegseite, unbefestigt;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F016;;DGM - Hochbord;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F116;;DGM - Hochbord;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F216;;DGM - Hochbord;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F316;;DGM - Hochbord;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F916;;DGM - Hochbord;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F017;;DGM - Tiefbord;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F117;;DGM - Tiefbord;Linie;661;Dritter;DGM;;;;;
01.08.10;#061.F217;;DGM - Tiefbord;Linie;661;Digitalisiert;DGM;;;;;
01.08.10;#061.F317;;DGM - Tiefbord;Linie;661;Photogrammetrie/Laser;DGM;;;;;
01.11.08;#061.F917;;DGM - Tiefbord;Linie;240;Planung;DGM;;;;;
01.11.08;#061.F018;;DGM - Formlinien;Linie;661;Bestand;DGM;;;;;
29.01.13;#061.F118;;DGM - Formlinien;Linie;661;Dritter;DGM;;;;;
