Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;CAD-Ebene
25.10.01;7300.0000;2.2.7.13;Mischwald;Flaeche;0;104
04.12.12;7300.C001;;Mischwald;Text;1,8 / R / frei platzierbar;104
18.07.03;6500.0000;2.2.7.14;Moor (Gruppensymbol);Punkt;U33;104
25.10.01;6500.0000;2.2.7.14;Moor;Flaeche;0;104
04.12.12;6500.C001;;Moor;Text;1,8 / R / frei platzierbar;104
06.06.03;6600.0000;2.2.7.15;Heide (Gruppensymbol);Punkt;U34;104
25.10.01;6600.0000;2.2.7.15;Heide;Flaeche;0;104
04.12.12;6600.C001;;Heide;Text;1,8 / R / frei platzierbar;104
06.06.03;3171.0000;2.2.7.16;Torfstich;Punkt;U35;104
25.10.01;3171.0000;2.2.7.16;Torfstich;Text;1,8 / R ;104
28.01.04;3171.0000;2.2.7.16;Torfstich;Flaeche;0;104
25.10.01;1000.0000;2.2.7.17;Gebäude- und Freifläche;Punkt;B29;104
25.10.01;1000.0000;2.2.7.17;Gebäude- und Freifläche;Text;1,8 / R ;104
25.10.01;1000.0000;2.2.7.17;Gebäude- und Freifläche;Flaeche;0;104
25.10.01;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Punkt;B30;104
25.10.01;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Text;1,8 / R ;104
28.01.04;6800.0000;2.2.7.18;Landwirtschaftliche Betriebsflächen;Flaeche;0;104
18.07.03;6900.0000;2.2.7.19;Brachland;Punkt;B31;104
25.10.01;6900.0000;2.2.7.19;Brachland;Text;1,8 / R ;104
25.10.01;6900.0000;2.2.7.19;Brachland;Flaeche;0;104
04.12.12;6900.C001;;Unland / Ödland;Punkt;X2;104
04.12.12;6900.C001;;Unland / Ödland;Text;1,8 / R ;104
04.12.12;6900.C001;;Unland / Ödland;Flaeche;0;104
05.03.13;6900.C002;;Schneise / Durchhau / Lücke / Bewuchsunterbrechung;Text;1,8 / R ;104
05.03.13;6900.C002;;Schneise / Durchhau / Lücke / Bewuchsunterbrechung;Flaeche;0;104
05.03.13;6900.C003;;Brandschutzstreifen;Text;1,8 / R ;104
05.03.13;6900.C003;;Brandschutzstreifen;Flaeche;0;104
23.10.03;9411.0000;2.2.7.20;Friedhof (Gruppensymbol);Punkt;U36;104
25.10.01;9411.0000;2.2.7.20;Friedhof;Flaeche;0;104
04.12.12;9411.0000;2.2.7.20;Friedhof;Text;1,8 / R / frei platzierbar;104
18.07.03;4211.0000;2.2.7.21;Parkanlage (Gruppensymbol);Punkt;U37;104
25.10.01;4211.0000;2.2.7.21;Parkanlage;Flaeche;0;104
04.12.12;4211.C001;;Parkanlage;Text;1,8 / R / frei platzierbar;104
25.10.01;4212.0000;2.2.7.22;Liegewiese (Gruppensymbol);Punkt;U38;104
28.01.04;4212.0000;2.2.7.22;Liegewiese;Flaeche;0;104
04.12.12;4212.C001;;Liegewiese;Text;1,8 / R / frei platzierbar;104
18.07.03;7400.0000;2.2.7.23;Gehölzfläche / Gebüsch (Gruppensymbol);Punkt;U39;104
25.10.01;7400.0000;2.2.7.23;Gehölzfläche / Gebüsch;Flaeche;0;104
04.12.12;7400.C001;;Gehölzfläche / Gebüsch;Text;1,8 / R / frei platzierbar;104
06.06.03;6130.0000;2.2.7.24;Hopfen (Gruppensymbol);Punkt;U40;104
29.01.04;6130.0000;2.2.7.24;Hopfen;Flaeche;0;104
04.12.12;6130.C001;;Hopfen;Text;1,8 / R / frei platzierbar;104
06.06.03;6140.0000;2.2.7.25;Spargel (Gruppensymbol);Punkt;U41;104
29.01.04;6140.0000;2.2.7.25;Spargel;Flaeche;0;104
04.12.12;6140.C001;;Spargel;Text;1,8 / R / frei platzierbar;104
18.07.03;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr (Gruppensymbol);Punkt;U42;104
25.10.01;6206.0000;2.2.7.26;Schilf, Reith, Reet, Rohr;Flaeche;0;104
04.12.12;6206.C001;;Schilf, Reith, Reet, Rohr;Text;1,8 / R / frei platzierbar;104
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Punkt;B28;104
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Text;1,8 / R / frei platzierbar;104
25.10.01;9430.0000;2.2.7.27;Historischer Friedhof;Flaeche;0;104
06.06.03;3141.0000;2.2.7.28;Steinbruch (Einzelsymbol);Punkt;U49;104
06.06.03;3141.0000;2.2.7.28;Steinbruch;Text;1,8 / R / frei platzierbar;104
06.06.03;3141.0000;2.2.7.28;Steinbruch;Flaeche;0;104
06.06.03;3151.0000;2.2.7.29;Erztagebau (Einzelsymbol);Punkt;U50;104
06.06.03;3151.0000;2.2.7.29;Erztagebau;Text;1,8 / R / frei platzierbar;104
06.06.03;3151.0000;2.2.7.29;Erztagebau;Flaeche;0;104
06.06.03;3161.0000;2.2.7.30;Kohletagebau (Einzelsymbol);Punkt;U51;104
06.06.03;3161.0000;2.2.7.30;Kohletagebau;Text;1,8 / R / frei platzierbar;104
06.06.03;3161.0000;2.2.7.30;Kohletagebau;Flaeche;0;104
25.10.01;3181.0000;2.2.7.31;Lavaabbau;Punkt;B36;104
25.10.01;3181.0000;2.2.7.31;Lavaabbau;Text;1,8 / R / frei platzierbar;104
25.10.01;3181.0000;2.2.7.31;Lavaabbau;Flaeche;0;104
18.07.03;4301.0000;2.2.7.32;Campingplatz;Punkt;V63;104
04.12.12;4301.C001;;Campingplatz;Text;1,8 / R / frei platzierbar;104
25.10.01;4301.0000;2.2.7.32;Campingplatz;Flaeche;0;104
